<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
240312;000000;299.54;301.07;297.34;300.9;28.579.520
240313;000000;301.2;301.49;298.7;298.85;23.980.400
240314;000000;298.47;298.7;295.14;295.83;42.076.250
240315;000000;295.75;299.44;295.29;298.3;26.002.750
240318;000000;299.41;299.98;297.63;298.87;20.213.950
240319;000000;298.3;299.4;294.21;295.2;59.646.690
240320;000000;295.4;296.88;293.52;295.4;30.646.650
240321;000000;295.95;297.3;291.8;295.62;70.581.560
240322;000000;295.77;296.79;291.05;292.99;48.966.360
240325;000000;294;294.93;292.13;293.9;25.449.910
240326;000000;294.44;295.82;293.04;294.11;16.268.420
240327;000000;294.45;295.11;293.47;295.1;14.531.720
240328;000000;295.51;299.3;295.51;299;33.617.440
240329;000000;299.37;299.5;298;298.72;17.644.190
240401;000000;299.99;301.65;299.5;300.43;28.378.290
240402;000000;300.42;300.99;298.95;300.38;19.900.790
240403;000000;300.39;307.13;300.17;306.72;58.210.390
240404;000000;306.8;307.77;304.36;304.61;29.046.010
240405;000000;304.65;306.5;303.7;306.1;19.315.070
240408;000000;306.5;308.6;306.22;307.75;24.816.860
240409;000000;308.1;309.35;305.51;306.76;31.960.600
240410;000000;306.76;307.14;304.62;306.48;20.618.060
240411;000000;306.64;308;305.7;306.95;20.511.760
240412;000000;307.41;307.87;306.3;307.1;16.001.210
240415;000000;307.4;308.39;306.64;307.99;20.711.610
240416;000000;308;308.65;307;308.29;17.030.710
240417;000000;308.64;309.74;305.91;306.59;28.070.320
240418;000000;306.02;308.29;305.05;307.99;20.296.500
240419;000000;308.02;308.38;306.8;307.38;14.563.250
240422;000000;307.99;315;307.38;314.99;68.916.500
240423;000000;315.3;315.79;306.26;307.39;92.606.890
240424;000000;307.52;309.79;306.65;307.94;26.515.970
240425;000000;307.96;309.07;307.45;308.41;15.934.990
240426;000000;308.5;309.9;308;309;21.126.710
240427;000000;309.2;309.99;308.7;308.98;13.089.900
240429;000000;309.13;309.6;307.65;308.97;10.004.910
240430;000000;309.19;309.49;308.03;308.24;5.969.290
240502;000000;308.71;309.19;306.8;307.37;16.246.440
240503;000000;307.16;308.29;304.34;307.53;30.440.790
240506;000000;308.08;308.09;305.55;306.01;19.100.370
240507;000000;306.25;308.87;306.21;308.22;16.606.530
240508;000000;308.41;311.83;308.08;311.21;33.875.380
240510;000000;311.49;313.5;311.31;313.49;16.675.700
240513;000000;314.1;315.7;314.04;314.85;21.503.920
240514;000000;314.98;318.41;313.58;318.12;35.181.520
240515;000000;318.2;320.16;317.7;319.7;28.195.960
240516;000000;320.01;322.91;320;322.91;27.790.120
240517;000000;322.95;323.5;320.02;323.16;24.321.350
240520;000000;324;324.85;318.94;321.08;36.547.050
240521;000000;320.89;322.23;318;320.64;33.999.260
240522;000000;320.84;323.1;320.84;322.93;18.635.350
240523;000000;322.8;324;321.23;323.54;17.835.590
240524;000000;323.83;324.48;319.78;321;26.553.810
240527;000000;321.08;321.95;315.5;317.09;45.678.990
240528;000000;317.49;320.9;315.82;318.22;30.148.450
240529;000000;318.4;320.4;315.92;320.38;22.961.680
240530;000000;320.91;321.55;316;316.63;26.931.430
240531;000000;316.5;318.49;309.8;313.11;49.135.220
240603;000000;313.5;315.5;305;310.95;61.756.350
240604;000000;310.97;316.5;308.8;316.49;33.007.760
240605;000000;316.63;318.28;313.85;314.72;27.769.570
240606;000000;314.7;316.45;311.15;313.08;28.304.600
240607;000000;313.61;320.64;312.73;319.9;44.451.740
240610;000000;320.79;321.98;315.21;317.28;26.271.510
240611;000000;317.5;319.84;315.88;317.8;20.045.280
240613;000000;305.83;317.82;304.14;317.71;40.596.660
240614;000000;317.8;320.7;316.2;319.35;21.471.310
240617;000000;320;320.45;316.85;317.65;15.421.940
240618;000000;317.65;318;313.02;314.34;21.995.830
240619;000000;314.38;314.78;307.51;310.7;42.166.660
240620;000000;310.71;314.72;306.02;314.15;72.766.890
240621;000000;314.9;316;312.6;314.14;29.078.260
240624;000000;314.57;319;314.14;317.25;29.541.850
240625;000000;317.42;319.89;316.28;319.8;25.961.320
240626;000000;320.1;324.56;319.8;324.55;42.419.730
240627;000000;324.8;327.83;322.63;327.16;46.744.210
240628;000000;327.83;329.3;325.8;327.15;40.401.840
240701;000000;327.68;329;326.25;327.1;31.651.010
240702;000000;327.3;328.87;326.82;328.37;21.147.250
240703;000000;328.6;330.45;327;328.2;32.149.800
240704;000000;328.37;329.57;323.81;324.66;40.717.120
240705;000000;324.72;327;321.01;325;40.395.560
240708;000000;325.76;327.44;323.74;324.07;27.707.420
240709;000000;324.32;325.33;317.5;319.99;54.117.710
240710;000000;319.01;320.3;314.3;316.68;88.434.130
240711;000000;289.96;296.98;285.22;295.87;163.673.770
240712;000000;296.01;297.48;290.97;292.21;49.886.960
240715;000000;292.93;293.86;283.5;284.38;58.676.410
240716;000000;284.49;285.69;276.7;285.25;82.828.490
240717;000000;285.84;289.96;283.23;284.68;42.767.400
240718;000000;284.69;289.99;282.73;289.83;34.064.140
240719;000000;290.67;292.58;289.2;289.9;30.979.970
240722;000000;291;294.95;291;294.71;33.311.040
240723;000000;295.45;295.48;293.36;294.39;22.093.540
240724;000000;294.38;296.67;293.2;295.69;24.544.600
240725;000000;295.7;297.3;294.2;296.37;22.844.710
240726;000000;296.4;300;292.67;293.3;84.884.940
240729;000000;292.94;292.94;286;286.58;52.219.730
240730;000000;286.5;291.99;284.32;290;42.534.130
240731;000000;290.46;291.2;288.01;289.3;25.920.100
240801;000000;289.75;290.69;287.04;287.21;18.623.090
240802;000000;287.21;287.99;284.37;286.04;30.076.980
240805;000000;282.79;283.46;275.17;275.49;81.937.270
240806;000000;277.02;281.16;276.35;279.4;43.202.810
240807;000000;280.01;283.27;277.21;282.2;48.382.920
240808;000000;283.25;285.42;280;281.09;42.244.110
240809;000000;280.98;282.67;279.62;281.44;22.241.490
240812;000000;280.17;281.5;278.03;280.74;27.637.540
240813;000000;281.05;284.33;280.42;283.92;24.020.180
240814;000000;284.2;284.7;280.12;280.32;21.714.850
240815;000000;280.62;280.85;276.73;278.01;28.609.160
240816;000000;278.06;279;274.32;274.6;26.162.430
240819;000000;275.08;275.56;265.02;268.17;68.554.390
240820;000000;268.35;269.49;263.36;266.2;54.188.810
240821;000000;266.16;267.8;263.86;266.93;37.082.330
240822;000000;266.93;268.5;260.15;261.6;47.832.270
240823;000000;261.7;262.8;255.56;259.5;76.692.590
240826;000000;263.55;266.95;261.54;265.39;49.740.810
240827;000000;265.82;266.07;259.82;260.5;32.322.390
240828;000000;259.9;262.47;254.99;262.47;47.819.940
240829;000000;262.59;264.19;258.36;260.31;34.789.950
240830;000000;260.55;261.8;254;254.45;46.093.930
240902;000000;254.03;254.2;242.65;244.31;97.567.000
240903;000000;244.39;250;240.01;244.04;105.623.660
240904;000000;244.51;253.5;242.8;253.01;70.628.230
240905;000000;255;258.17;251.11;252.82;78.275.280
240906;000000;253.04;255.35;250.31;254.77;41.321.430
240909;000000;256;263.45;255.3;263.31;66.034.220
240910;000000;264.6;264.61;258.7;261.29;57.661.380
240911;000000;260.8;262;257.5;258.2;38.187.230
240912;000000;257.79;258.68;252.85;254.93;46.294.910
240913;000000;255.18;259.92;248.75;258.25;111.072.970
240916;000000;259.65;264.37;257.8;263.79;52.514.890
240917;000000;264.12;267;260.55;265.99;57.482.960
240918;000000;265.73;267.99;263.15;263.4;43.207.650
240919;000000;263.93;266.19;262.32;264.5;35.624.340
240920;000000;264.55;269.21;264.5;269.08;38.731.230
240923;000000;269.32;273.8;269.3;273.17;49.321.720
240924;000000;273.83;273.94;270.5;272.92;36.940.480
240925;000000;272.93;273.8;267.3;267.8;43.747.450
240926;000000;267.6;269.76;265.41;267.88;31.838.840
240927;000000;268.5;269.7;267.17;268.07;18.850.980
240930;000000;269.25;272.33;268.14;268.49;42.404.640
241001;000000;267.64;268.68;264;266.29;51.992.710
241002;000000;266.28;268;258.52;259.31;46.490.120
241003;000000;259.31;264.49;257.2;264.25;56.487.900
241004;000000;264.95;265.44;262.11;264.09;25.906.840
241007;000000;264.25;267;261.37;263.39;28.903.960
241008;000000;263.19;263.8;261.89;262.4;16.119.810
241009;000000;262.55;263.8;259.59;260.86;24.955.850
241010;000000;260.89;261.64;258.91;259.98;17.641.350
241011;000000;259.81;260.07;256.8;256.94;24.807.370
241014;000000;256.47;263.91;254.1;261.28;64.068.170
241015;000000;260.94;263.7;259.84;262.03;26.188.700
241016;000000;262.06;264.72;258.45;259.5;40.177.540
241017;000000;259.5;260.45;256.03;256.57;24.610.370
241018;000000;256.5;258.9;254.41;257.19;29.989.090
241021;000000;257.27;259.85;256.78;258.21;21.431.740
241022;000000;258.1;258.8;255.25;255.42;17.034.860
241023;000000;255.25;255.9;251.34;252.01;30.386.580
241024;000000;252.02;254.27;250.25;252.64;28.722.160
241025;000000;252.76;255.35;245.7;246.35;80.582.460
241028;000000;245.07;249;241.61;242.56;71.823.960
241029;000000;243.19;244.6;239.88;242.66;47.036.950
241030;000000;242.86;246.22;241.11;241.45;39.715.140
241031;000000;241.39;242.8;236.23;237.9;57.012.180
241101;000000;237.91;239.1;234.57;238.03;48.318.530
241102;000000;237.88;240;237.71;238.97;14.853.190
241105;000000;239.61;241.2;238.07;239.23;28.108.960
241106;000000;247;248.56;242.05;243.6;77.709.700
241107;000000;243.26;251;242.16;250.93;44.425.190
241108;000000;251.5;255.99;250.5;255.98;57.955.250
241111;000000;257.98;261.3;256.49;260.73;67.108.770
241112;000000;259.99;260.7;255.27;255.77;40.858.380
241113;000000;255.3;258.96;254.05;254.7;44.517.870
241114;000000;254.3;255.92;248.6;249.52;48.972.450
241115;000000;249.4;254.43;248.05;253.43;44.169.640
241118;000000;249.09;251.94;247.3;248.72;51.127.080
241119;000000;249.05;249.83;239.62;240.59;75.453.920
241120;000000;241.8;243.59;234.74;237.05;70.236.990
241121;000000;237.16;240.94;234;240.47;75.052.950
241122;000000;240.55;241;234.78;236;45.501.870
241125;000000;236;237.1;227.25;227.81;76.358.230
241126;000000;227.81;231.9;221.2;223.16;96.738.220
241127;000000;223.88;226.47;219.2;226.3;112.401.690
241128;000000;227.06;229.5;222.48;228.56;67.717.140
241129;000000;228.48;236.99;227.55;236.49;70.247.610
241202;000000;237.09;238.7;234.32;235.17;45.050.170
241203;000000;235.29;235.97;230.26;230.8;45.313.800
241204;000000;231.05;233.79;224.3;224.55;72.374.990
241205;000000;224.6;233.75;222.82;233.48;86.902.200
241206;000000;233.63;238.25;231.52;237.84;81.003.410
241209;000000;239.27;240.51;236.75;237.29;52.314.320
241210;000000;238;238.01;230.65;230.82;58.548.350
241211;000000;230.5;234.39;229.22;234.19;64.817.940
241212;000000;234;235.95;228.52;229.02;59.118.900
241213;000000;228.89;231.33;227.85;228.7;46.091.280
241216;000000;228.6;229.05;224.38;225.53;54.519.260
241217;000000;225.58;227.49;223.72;226.5;45.827.690
241218;000000;226.72;230.8;224.33;230.15;58.002.020
241219;000000;230.17;234.99;227.71;229;123.831.990
241220;000000;229.32;258.98;228.03;257.6;235.163.880
241223;000000;260;270;256.51;264.9;162.588.610
241224;000000;264.93;266.79;261.02;264.34;83.747.800
241225;000000;263.64;273;260.31;271.69;125.501.440
241226;000000;272.02;274.25;269.1;269.56;75.523.970
241227;000000;269.69;272.16;268.57;271.2;52.121.690
241228;000000;271.37;273.99;270.4;272.83;39.560.080
241230;000000;273.99;279.49;273.7;279.43;52.353.840
250103;000000;279.99;280.41;271.8;272.25;42.928.720
250106;000000;270.88;274.41;270.07;274.37;28.260.720
250108;000000;273.39;277.87;273.09;277;26.185.200
250109;000000;276.89;278.77;270.73;271.8;52.866.520
250110;000000;272.32;279.53;270.27;278.77;71.104.590
250113;000000;280.65;284.75;278.6;279.8;66.252.420
250114;000000;279.82;282.36;277.41;279.85;45.983.040
250115;000000;280;282.82;276.06;282.77;52.822.640
250116;000000;283.72;284;281.18;281.8;49.321.630
250117;000000;282.2;284.64;280.19;283.53;51.815.780
250120;000000;285.11;286.23;277.61;278.19;67.543.880
250121;000000;279.39;281.85;276.32;281.85;40.374.630
250122;000000;281.94;284;280.2;280.36;47.032.130
250123;000000;280.79;280.79;277.35;280.49;38.509.890
250124;000000;281;282.75;279.25;280.74;32.083.360
250127;000000;280.72;280.97;275.01;275.23;39.028.630
250128;000000;275.25;279.26;274.01;278.35;39.024.990
250129;000000;277.95;282.18;277.12;280.36;39.150.990
250130;000000;280.37;282.5;280.36;281.97;28.018.670
250131;000000;281.83;284.11;280.27;280.73;40.327.370
250203;000000;280.21;280.35;278;279.55;30.335.260
250204;000000;279.55;281.41;275.7;277.4;23.982.810
250205;000000;277.3;283.89;275.34;282.88;43.063.150
250206;000000;283.89;288.92;282.09;287.15;69.290.140
250207;000000;287.66;288.9;285.08;285.81;27.610.110
250210;000000;287.64;294.55;287.61;289.94;72.903.060
250211;000000;290.42;294.1;289.3;294.06;55.991.750
250212;000000;294.3;314.4;291.3;314;185.802.940
250213;000000;315.61;318.72;307.2;310.1;116.571.990
250214;000000;315.59;317.84;303.06;309.87;126.690.930
250217;000000;314;319.55;312.31;319.5;84.607.980
250218;000000;319.9;320.92;310.21;312.95;84.855.800
250219;000000;313.53;317.25;311.01;315.91;50.473.290
250220;000000;315.91;317.96;314.02;315.05;33.153.140
250221;000000;315.48;316.69;312;314.74;32.724.140
250224;000000;314.93;316.4;313;316.03;35.706.150
250225;000000;316.03;318.59;315.62;316.97;38.812.180
250226;000000;317;317.45;308.31;310.22;73.822.090
250227;000000;310.22;312.45;305.43;307.1;60.919.290
250228;000000;306.01;310.4;304.05;309.63;65.631.160
250301;000000;309.84;310.94;309.47;310.11;1.138.430
250302;000000;309.5;309.63;306.8;307.44;1.885.110
250303;000000;306.45;307.92;300.2;305.5;66.383.120
250304;000000;306.43;318.5;306.14;316.4;88.099.480
250305;000000;316.5;318.3;313;313.56;57.710.050
250306;000000;313.63;317.43;313.57;315.18;31.957.120
250307;000000;315.3;321.87;310.69;316.92;110.870.150
250310;000000;317;320.63;316.37;317.57;39.294.670
250311;000000;317.78;321.98;315.57;319.69;64.926.270
250312;000000;319.8;320.9;315.8;318.39;41.920.410
250313;000000;318.39;320.5;312.5;316.37;78.546.460
250314;000000;315.91;321.1;314.12;320.51;51.691.040
250315;000000;320.69;321.3;319.82;320.74;1.455.280
250316;000000;320.52;323.5;320.52;323.44;5.680.630
250317;000000;323.45;326.97;322.62;326.02;58.625.040
250318;000000;326.19;329.77;323.82;324.06;72.941.970
250319;000000;324.49;326.88;322.3;325.3;39.792.530
250320;000000;325.41;326;321.8;324.05;42.352.140
250321;000000;324;326.08;322.15;323.26;28.693.860
250324;000000;323.26;323.94;318.51;319.47;33.031.030
250325;000000;320;322.2;314.65;319.8;48.324.870
250326;000000;320;320.88;315.01;315.23;20.575.860
250327;000000;315.8;317.16;311.95;311.96;36.144.680
250328;000000;311.95;313.65;305.65;308.04;51.856.020
250329;000000;307.8;308.3;302.64;303.89;5.739.820
250330;000000;303.2;305.3;298.8;299.22;9.158.830
250331;000000;300.07;310.88;300;309.72;48.301.070
250401;000000;310.01;312.9;302.7;303.24;46.073.820
250402;000000;303.22;306.5;301.21;306.11;40.192.400
250403;000000;306.28;309.2;296;302.09;52.379.750
250404;000000;303.55;304.37;284.4;285.35;88.534.980
250405;000000;285.25;287.03;280.11;284.98;14.100.160
250406;000000;285.35;290.47;284.22;290.35;8.755.880
250407;000000;285.3;294;275.76;287.56;125.059.850
250408;000000;290;294.66;281.5;282.03;65.473.560
250409;000000;280.91;294.48;276.33;293.4;109.320.240
250410;000000;294.09;296.75;288.27;292.46;62.750.700
250411;000000;292.8;300.48;292.8;299.81;50.415.310
250412;000000;300.18;301.8;300.03;300.95;4.615.240
250413;000000;300.88;301.99;300.01;301.49;4.079.210
250414;000000;301.49;302.4;295.13;296.5;34.689.330
250415;000000;296.51;300.45;295.6;297.99;24.246.330
250416;000000;298.09;303.3;296.06;300.8;30.083.090
250417;000000;301;305.07;300.41;304.8;37.528.700
250418;000000;302.7;303.85;296.25;300.01;46.057.000
250421;000000;302.67;308.7;301.76;308.12;51.188.620
250422;000000;308.5;315;306.55;312.25;64.466.770
250423;000000;313;314.98;305.55;310;58.824.230
250424;000000;310.78;312.8;309.09;310.16;24.105.720
250425;000000;310.89;317.87;310.71;316.69;51.669.060
250426;000000;318.42;320.26;317;317.58;9.511.000
250427;000000;318.2;318.97;317.39;318.18;2.238.080
250428;000000;318.36;320;313.52;314.23;52.304.570
250429;000000;314.94;315.45;308.1;309.41;30.218.510
250430;000000;309.4;309.95;303.12;307.8;41.262.390
250502;000000;307.73;307.73;299.7;299.96;19.718.480
250503;000000;299.9;302.24;299.52;300.7;2.942.530
250504;000000;300.7;302.78;300.02;301.8;2.867.700
250505;000000;301.82;302.59;291.66;294.64;45.487.870
250506;000000;294.65;304.75;292.05;302.02;49.317.710
250507;000000;302.51;304.24;300.56;302.79;29.655.240
250508;000000;302.99;306;300.61;302.15;20.809.880
250510;000000;303.53;304;301.7;302.38;2.084.470
250511;000000;305.85;307.64;304.55;305.48;8.172.680
250512;000000;307.55;311.49;307.26;310.81;34.653.810
250513;000000;310.8;312.5;309.61;311.24;24.729.810
250514;000000;311.5;313.71;304.04;304.21;27.149.310
250515;000000;304.21;307.77;300.49;304.72;47.415.670
250516;000000;304.71;308.88;296.56;306.34;63.950.560
250517;000000;306.34;309.48;306.01;308.89;4.795.590
250518;000000;309.67;311.86;309.3;311.15;5.402.510
250519;000000;311.48;313;306.34;308.33;44.482.040
250520;000000;308.88;309.55;304.7;306.16;19.804.720
250521;000000;306.18;307.56;302.89;303.98;20.454.350
250522;000000;304.03;305.6;299.17;302.66;35.011.620
250523;000000;302.8;305;301.33;302.22;17.168.890
250526;000000;302.23;302.49;295.5;297.77;34.610.630
250527;000000;297.68;299.9;293.08;298.7;25.752.260
250528;000000;299.06;308.82;299;308.47;47.995.510
250529;000000;308.65;309.95;305.66;306.65;24.021.920
250530;000000;306.5;310.29;305.01;309.3;21.903.940
250531;000000;309.31;309.84;308.31;308.74;1.459.500
250601;000000;308.69;308.69;300.51;303.14;11.904.960
250602;000000;302.6;311.99;302;309.63;41.186.650
250603;000000;309.7;314.88;309.39;313.55;34.901.410
250604;000000;314.04;318.29;311.17;313.23;53.773.500
250605;000000;313.78;318.59;313.53;317.96;28.353.280
250606;000000;318.35;325.43;312.52;313.13;102.005.180
250607;000000;314;314.95;313.72;314.65;2.022.260
250608;000000;314.66;314.88;313.61;314.35;1.618.500
250609;000000;314.7;315.51;310;311.17;30.107.660
250610;000000;311.22;313.3;307.55;308.68;27.810.150
250611;000000;309.45;313.6;308.03;312;26.270.980
